path,bbox_x1,bbox_x2,bbox_y1,bbox_y2,lab,class_name,car_type
00001.jpg,39,116,569,375,13,Audi TTS Coupe 2012,2
00002.jpg,36,116,868,587,2,Acura TL Sedan 2012,5
00003.jpg,85,109,601,381,90,Dodge Dakota Club Cab 2007,0
00004.jpg,621,393,1484,1096,133,Hyundai Sonata Hybrid Sedan 2012,5
00005.jpg,14,36,133,99,105,Ford F-450 Super Duty Crew Cab 2012,0
00006.jpg,259,289,515,416,122,Geo Metro Convertible 1993,1
00007.jpg,88,80,541,397,88,Dodge Journey SUV 2012,6
00008.jpg,73,79,591,410,95,Dodge Charger Sedan 2012,5
00009.jpg,20,126,1269,771,166,Mitsubishi Lancer Sedan 2012,5
00010.jpg,21,110,623,367,57,Chevrolet Traverse SUV 2012,6
00011.jpg,51,93,601,393,48,Buick Verano Sedan 2012,5
00012.jpg,6,62,499,286,185,Toyota Sequoia SUV 2012,6
00013.jpg,30,36,418,307,134,Hyundai Elantra Sedan 2007,5
00014.jpg,31,246,778,540,84,Dodge Caravan Minivan 1997,4
00015.jpg,32,77,589,379,192,Volvo C30 Hatchback 2012,3
00016.jpg,27,49,611,396,171,Plymouth Neon Coupe 1999,2
00017.jpg,39,52,233,150,13,Audi TTS Coupe 2012,2
00018.jpg,3,8,190,147,72,Chevrolet Malibu Sedan 2007,5
00019.jpg,247,287,1366,761,191,Volkswagen Beetle Hatchback 2012,3
00020.jpg,17,281,961,596,56,Chevrolet Corvette Ron Fellows Edition Z06 2007,2
00021.jpg,17,156,695,375,78,Chrysler 300 SRT-8 2010,5
00022.jpg,212,538,1893,1131,35,BMW M6 Convertible 2010,1
00023.jpg,11,28,476,234,119,GMC Yukon Hybrid SUV 2012,6
00024.jpg,53,126,973,621,169,Nissan Juke Hatchback 2012,3
00025.jpg,34,87,567,343,193,Volvo 240 Sedan 1993,5
00026.jpg,30,174,598,379,133,Hyundai Sonata Hybrid Sedan 2012,5
00027.jpg,80,107,606,336,183,Suzuki SX4 Sedan 2012,5
00028.jpg,45,115,585,382,85,Dodge Ram Pickup 3500 Crew Cab 2010,0
00029.jpg,28,139,1564,1126,179,Spyker C8 Coupe 2009,2
00030.jpg,82,109,874,521,193,Volvo 240 Sedan 1993,5
00031.jpg,55,318,446,564,153,Land Rover Range Rover SUV 2012,6
00032.jpg,12,31,471,350,138,Hyundai Elantra Touring Hatchback 2012,3
00033.jpg,34,197,1011,656,65,Chevrolet Cobalt SS 2010,2
